# Box 1
#Temp	Dens	errDens	Pres	errP
#0.065	0.10148	2.77E-4	0.00191	2.7E-5
0.06	0.10779	5.2E-4	0.00105	4.8E-5
0.055	0.12177	3.96E-4	-8.37E-4	5.3E-5
0.05	0.13661	8.3E-5	-0.00346	1.5E-5
0.045	0.15101	5.9E-5	-0.00665	1.1E-5
0.04	0.16452	7.9E-5	-0.01026	1.9E-5
0.03	0.18833	0.00101	-0.01817	3.64E-4
#0.01	0.21807	4.2E-5	-0.02954	5.1E-5
# Box 2
#Temp	Dens	errDens	Pres	errP
#0.01	0.06474	9.6E-5	-0.00278	1.5E-5
#0.065	0.05101	0.03379	0.00286	0.00215
0.05	0.00655	1.2E-5	3.3E-4	1E-6
0.055	0.01082	2.3E-5	5.97E-4	1E-6
0.04	0.00205	4E-6	8.3E-5	0
0.045	0.00385	3E-6	1.75E-4	0
0.06	0.01984	6.52E-4	0.00111	3.9E-5
0.03	3.48E-4	8E-6	1E-5	0
